Country,Year,Cost_NOx [Euro per tonne],Cost_PM2.5 [Euro per tonne],Cost_PM10 [Euro per tonne],Cost_SOx [Euro per tonne],Cost_NMVOC [Euro per tonne],Cost_NH3 [Euro per tonne],Cost_Pb [Euro per kg],Cost_Cd [Euro per kg],Cost_Hg [Euro per kg],Cost_As [Euro per kg],Cost_Ni [Euro per kg],Cost_Cr [Euro per kg]
Portugal,2014,31431,234012,151956,35284,2221,25361,32531,185175,16903,11044,24,3129
Romania,2014,52412,217324,141119,61831,3748,48662,32531,185175,16903,11044,24,3129
Slovenia,2014,84406,373078,242259,93509,10127,80401,32531,185175,16903,11044,24,3129
Slovakia,2014,50306,233434,151580,60571,5753,104309,32531,185175,16903,11044,24,3129
Finland,2014,14520,65365,42445,17104,634,13649,32531,185175,16903,11044,24,3129
Sweden,2014,18625,53538,34765,20187,932,17421,32531,185175,16903,11044,24,3129
Norway,2014,16865.6471,56741,36845,15510.5294,1117,9684,32531,185175,16903,11044,24,3129
Switzerland,2014,143134.258,306655,199126,232060.876,12280.6809,65004,32531,185175,16903,11044,24,3129
United Kingdom,2014,55633,268250,174188,117414,4722,102606,32531,185175,16903,11044,24,3129
Belgium,2015,67427,512037,332491,159275,7953,162801,32531,185175,16903,11044,24,3129
Bulgaria,2015,39770,309647,201070,46368,2791,58106,32531,185175,16903,11044,24,3129
Czechia,2015,49118,282451,183409,71277,8138,131699,32531,185175,16903,11044,24,3129
Denmark,2015,25320,124113,80593,54274,1483,25524,32531,185175,16903,11044,24,3129
Germany,2015,74688,266647,173147,116457,5720,90548,32531,185175,16903,11044,24,3129
Estonia,2015,7116,26735,17360,6789,508,15020,32531,185175,16903,11044,24,3129
Ireland,2015,29855,50219,32609,77934,1779,15632,32531,185175,16903,11044,24,3129
Greece,2015,26670,145705,94614,36550,3480,41129,32531,185175,16903,11044,24,3129
Spain,2015,42135,201671,130955,71915,3611,22806,32531,185175,16903,11044,24,3129
France,2015,63655,208191,135189,111252,6209,42588,32531,185175,16903,11044,24,3129
Croatia,2015,59833,192306,124874,79013,5231,59914,32531,185175,16903,11044,24,3129
Italy,2015,108205,592650,384838,93754,15642,93026,32531,185175,16903,11044,24,3129
Cyprus,2015,15126,48390,31422,18211,889,14690,32531,185175,16903,11044,24,3129
Latvia,2015,19176,98627,64043,28699,665,17100,32531,185175,16903,11044,24,3129
Lithuania,2015,18399,62144,40353,25598,647,20560,32531,185175,16903,11044,24,3129
Luxembourg,2015,71957,247472,160696,150219,4640,82776,32531,185175,16903,11044,24,3129
Hungary,2015,68921,261548,169836,77634,4795,74316,32531,185175,16903,11044,24,3129
Malta,2015,7158,150194,97529,17076,2486,87032,32531,185175,16903,11044,24,3129
Netherlands,2015,79400,294599,191298,135753,6051,112156,32531,185175,16903,11044,24,3129
Austria,2015,75781,227195,147529,113124,8226,75613,32531,185175,16903,11044,24,3129
Poland,2015,27011,129265,83938,42598,3070,70606,32531,185175,16903,11044,24,3129
Portugal,2015,31431,234012,151956,35284,2221,25361,32531,185175,16903,11044,24,3129
Romania,2015,52412,217324,141119,61831,3748,48662,32531,185175,16903,11044,24,3129
Slovenia,2015,84406,373078,242259,93509,10127,80401,32531,185175,16903,11044,24,3129
Slovakia,2015,50306,233434,151580,60571,5753,104309,32531,185175,16903,11044,24,3129
Finland,2015,14520,65365,42445,17104,634,13649,32531,185175,16903,11044,24,3129
Sweden,2015,18625,53538,34765,20187,932,17421,32531,185175,16903,11044,24,3129
Norway,2015,16865.6471,56741,36845,15510.5294,1117,9684,32531,185175,16903,11044,24,3129
Switzerland,2015,143134.258,306655,199126,232060.876,12280.6809,65004,32531,185175,16903,11044,24,3129
United Kingdom,2015,55633,268250,174188,117414,4722,102606,32531,185175,16903,11044,24,3129
Belgium,2016,67427,512037,332491,159275,7953,162801,32531,185175,16903,11044,24,3129
Bulgaria,2016,39770,309647,201070,46368,2791,58106,32531,185175,16903,11044,24,3129
Czechia,2016,49118,282451,183409,71277,8138,131699,32531,185175,16903,11044,24,3129
Denmark,2016,25320,124113,80593,54274,1483,25524,32531,185175,16903,11044,24,3129
Germany,2016,74688,266647,173147,116457,5720,90548,32531,185175,16903,11044,24,3129
Estonia,2016,7116,26735,17360,6789,508,15020,32531,185175,16903,11044,24,3129
Ireland,2016,29855,50219,32609,77934,1779,15632,32531,185175,16903,11044,24,3129
Greece,2016,26670,145705,94614,36550,3480,41129,32531,185175,16903,11044,24,3129
Spain,2016,42135,201671,130955,71915,3611,22806,32531,185175,16903,11044,24,3129
France,2016,63655,208191,135189,111252,6209,42588,32531,185175,16903,11044,24,3129
Croatia,2016,59833,192306,124874,79013,5231,59914,32531,185175,16903,11044,24,3129
Italy,2016,108205,592650,384838,93754,15642,93026,32531,185175,16903,11044,24,3129
Cyprus,2016,15126,48390,31422,18211,889,14690,32531,185175,16903,11044,24,3129
Latvia,2016,19176,98627,64043,28699,665,17100,32531,185175,16903,11044,24,3129
Lithuania,2016,18399,62144,40353,25598,647,20560,32531,185175,16903,11044,24,3129
Luxembourg,2016,71957,247472,160696,150219,4640,82776,32531,185175,16903,11044,24,3129
Hungary,2016,68921,261548,169836,77634,4795,74316,32531,185175,16903,11044,24,3129
Malta,2016,7158,150194,97529,17076,2486,87032,32531,185175,16903,11044,24,3129
Netherlands,2016,79400,294599,191298,135753,6051,112156,32531,185175,16903,11044,24,3129
Austria,2016,75781,227195,147529,113124,8226,75613,32531,185175,16903,11044,24,3129
Poland,2016,27011,129265,83938,42598,3070,70606,32531,185175,16903,11044,24,3129
Portugal,2016,31431,234012,151956,35284,2221,25361,32531,185175,16903,11044,24,3129
Romania,2016,52412,217324,141119,61831,3748,48662,32531,185175,16903,11044,24,3129
Slovenia,2016,84406,373078,242259,93509,10127,80401,32531,185175,16903,11044,24,3129
Slovakia,2016,50306,233434,151580,60571,5753,104309,32531,185175,16903,11044,24,3129
Finland,2016,14520,65365,42445,17104,634,13649,32531,185175,16903,11044,24,3129
Sweden,2016,18625,53538,34765,20187,932,17421,32531,185175,16903,11044,24,3129
Norway,2016,16865.6471,56741,36845,15510.5294,1117,9684,32531,185175,16903,11044,24,3129
Switzerland,2016,143134.258,306655,199126,232060.876,12280.6809,65004,32531,185175,16903,11044,24,3129
United Kingdom,2016,55633,268250,174188,117414,4722,102606,32531,185175,16903,11044,24,3129
Belgium,2017,67427,512037,332491,159275,7953,162801,32531,185175,16903,11044,24,3129
Bulgaria,2017,39770,309647,201070,46368,2791,58106,32531,185175,16903,11044,24,3129
Czechia,2017,49118,282451,183409,71277,8138,131699,32531,185175,16903,11044,24,3129
Denmark,2017,25320,124113,80593,54274,1483,25524,32531,185175,16903,11044,24,3129
Germany,2017,74688,266647,173147,116457,5720,90548,32531,185175,16903,11044,24,3129
Estonia,2017,7116,26735,17360,6789,508,15020,32531,185175,16903,11044,24,3129
Ireland,2017,29855,50219,32609,77934,1779,15632,32531,185175,16903,11044,24,3129
Greece,2017,26670,145705,94614,36550,3480,41129,32531,185175,16903,11044,24,3129
Spain,2017,42135,201671,130955,71915,3611,22806,32531,185175,16903,11044,24,3129
France,2017,63655,208191,135189,111252,6209,42588,32531,185175,16903,11044,24,3129
Croatia,2017,59833,192306,124874,79013,5231,59914,32531,185175,16903,11044,24,3129
Italy,2017,108205,592650,384838,93754,15642,93026,32531,185175,16903,11044,24,3129
Cyprus,2017,15126,48390,31422,18211,889,14690,32531,185175,16903,11044,24,3129
Latvia,2017,19176,98627,64043,28699,665,17100,32531,185175,16903,11044,24,3129
Lithuania,2017,18399,62144,40353,25598,647,20560,32531,185175,16903,11044,24,3129
Luxembourg,2017,71957,247472,160696,150219,4640,82776,32531,185175,16903,11044,24,3129
Hungary,2017,68921,261548,169836,77634,4795,74316,32531,185175,16903,11044,24,3129
Malta,2017,7158,150194,97529,17076,2486,87032,32531,185175,16903,11044,24,3129
Netherlands,2017,79400,294599,191298,135753,6051,112156,32531,185175,16903,11044,24,3129
Austria,2017,75781,227195,147529,113124,8226,75613,32531,185175,16903,11044,24,3129
Poland,2017,27011,129265,83938,42598,3070,70606,32531,185175,16903,11044,24,3129
Portugal,2017,31431,234012,151956,35284,2221,25361,32531,185175,16903,11044,24,3129
Romania,2017,52412,217324,141119,61831,3748,48662,32531,185175,16903,11044,24,3129
Slovenia,2017,84406,373078,242259,93509,10127,80401,32531,185175,16903,11044,24,3129
Slovakia,2017,50306,233434,151580,60571,5753,104309,32531,185175,16903,11044,24,3129
Finland,2017,14520,65365,42445,17104,634,13649,32531,185175,16903,11044,24,3129
Sweden,2017,18625,53538,34765,20187,932,17421,32531,185175,16903,11044,24,3129
Norway,2017,16865.6471,56741,36845,15510.5294,1117,9684,32531,185175,16903,11044,24,3129
Switzerland,2017,143134.258,306655,199126,232060.876,12280.6809,65004,32531,185175,16903,11044,24,3129
United Kingdom,2017,55633,268250,174188,117414,4722,102606,32531,185175,16903,11044,24,3129
Belgium,2018,67427,512037,332491,159275,7953,162801,32531,185175,16903,11044,24,3129
Bulgaria,2018,39770,309647,201070,46368,2791,58106,32531,185175,16903,11044,24,3129
Czechia,2018,49118,282451,183409,71277,8138,131699,32531,185175,16903,11044,24,3129
Denmark,2018,25320,124113,80593,54274,1483,25524,32531,185175,16903,11044,24,3129
Germany,2018,74688,266647,173147,116457,5720,90548,32531,185175,16903,11044,24,3129
Estonia,2018,7116,26735,17360,6789,508,15020,32531,185175,16903,11044,24,3129
Ireland,2018,29855,50219,32609,77934,1779,15632,32531,185175,16903,11044,24,3129
Greece,2018,26670,145705,94614,36550,3480,41129,32531,185175,16903,11044,24,3129
Spain,2018,42135,201671,130955,71915,3611,22806,32531,185175,16903,11044,24,3129
France,2018,63655,208191,135189,111252,6209,42588,32531,185175,16903,11044,24,3129
Croatia,2018,59833,192306,124874,79013,5231,59914,32531,185175,16903,11044,24,3129
Italy,2018,108205,592650,384838,93754,15642,93026,32531,185175,16903,11044,24,3129
Cyprus,2018,15126,48390,31422,18211,889,14690,32531,185175,16903,11044,24,3129
Latvia,2018,19176,98627,64043,28699,665,17100,32531,185175,16903,11044,24,3129
Lithuania,2018,18399,62144,40353,25598,647,20560,32531,185175,16903,11044,24,3129
Luxembourg,2018,71957,247472,160696,150219,4640,82776,32531,185175,16903,11044,24,3129
Hungary,2018,68921,261548,169836,77634,4795,74316,32531,185175,16903,11044,24,3129
Malta,2018,7158,150194,97529,17076,2486,87032,32531,185175,16903,11044,24,3129
Netherlands,2018,79400,294599,191298,135753,6051,112156,32531,185175,16903,11044,24,3129
Austria,2018,75781,227195,147529,113124,8226,75613,32531,185175,16903,11044,24,3129
Poland,2018,27011,129265,83938,42598,3070,70606,32531,185175,16903,11044,24,3129
Portugal,2018,31431,234012,151956,35284,2221,25361,32531,185175,16903,11044,24,3129
Romania,2018,52412,217324,141119,61831,3748,48662,32531,185175,16903,11044,24,3129
Slovenia,2018,84406,373078,242259,93509,10127,80401,32531,185175,16903,11044,24,3129
Slovakia,2018,50306,233434,151580,60571,5753,104309,32531,185175,16903,11044,24,3129
Finland,2018,14520,65365,42445,17104,634,13649,32531,185175,16903,11044,24,3129
Sweden,2018,18625,53538,34765,20187,932,17421,32531,185175,16903,11044,24,3129
Norway,2018,16865.6471,56741,36845,15510.5294,1117,9684,32531,185175,16903,11044,24,3129
Switzerland,2018,143134.258,306655,199126,232060.876,12280.6809,65004,32531,185175,16903,11044,24,3129
United Kingdom,2018,55633,268250,174188,117414,4722,102606,32531,185175,16903,11044,24,3129
Belgium,2019,67427,512037,332491,159275,7953,162801,32531,185175,16903,11044,24,3129
Bulgaria,2019,39770,309647,201070,46368,2791,58106,32531,185175,16903,11044,24,3129
Czechia,2019,49118,282451,183409,71277,8138,131699,32531,185175,16903,11044,24,3129
Denmark,2019,25320,124113,80593,54274,1483,25524,32531,185175,16903,11044,24,3129
Germany,2019,74688,266647,173147,116457,5720,90548,32531,185175,16903,11044,24,3129
Estonia,2019,7116,26735,17360,6789,508,15020,32531,185175,16903,11044,24,3129
Ireland,2019,29855,50219,32609,77934,1779,15632,32531,185175,16903,11044,24,3129
Greece,2019,26670,145705,94614,36550,3480,41129,32531,185175,16903,11044,24,3129
Spain,2019,42135,201671,130955,71915,3611,22806,32531,185175,16903,11044,24,3129
France,2019,63655,208191,135189,111252,6209,42588,32531,185175,16903,11044,24,3129
Croatia,2019,59833,192306,124874,79013,5231,59914,32531,185175,16903,11044,24,3129
Italy,2019,108205,592650,384838,93754,15642,93026,32531,185175,16903,11044,24,3129
Cyprus,2019,15126,48390,31422,18211,889,14690,32531,185175,16903,11044,24,3129
Latvia,2019,19176,98627,64043,28699,665,17100,32531,185175,16903,11044,24,3129
Lithuania,2019,18399,62144,40353,25598,647,20560,32531,185175,16903,11044,24,3129
Luxembourg,2019,71957,247472,160696,150219,4640,82776,32531,185175,16903,11044,24,3129
Hungary,2019,68921,261548,169836,77634,4795,74316,32531,185175,16903,11044,24,3129
Malta,2019,7158,150194,97529,17076,2486,87032,32531,185175,16903,11044,24,3129
Netherlands,2019,79400,294599,191298,135753,6051,112156,32531,185175,16903,11044,24,3129
Austria,2019,75781,227195,147529,113124,8226,75613,32531,185175,16903,11044,24,3129
Poland,2019,27011,129265,83938,42598,3070,70606,32531,185175,16903,11044,24,3129
Portugal,2019,31431,234012,151956,35284,2221,25361,32531,185175,16903,11044,24,3129
Romania,2019,52412,217324,141119,61831,3748,48662,32531,185175,16903,11044,24,3129
Slovenia,2019,84406,373078,242259,93509,10127,80401,32531,185175,16903,11044,24,3129
Slovakia,2019,50306,233434,151580,60571,5753,104309,32531,185175,16903,11044,24,3129
Finland,2019,14520,65365,42445,17104,634,13649,32531,185175,16903,11044,24,3129
Sweden,2019,18625,53538,34765,20187,932,17421,32531,185175,16903,11044,24,3129
Norway,2019,16865.6471,56741,36845,15510.5294,1117,9684,32531,185175,16903,11044,24,3129
Switzerland,2019,143134.258,306655,199126,232060.876,12280.6809,65004,32531,185175,16903,11044,24,3129
United Kingdom,2019,55633,268250,174188,117414,4722,102606,32531,185175,16903,11044,24,3129
