freq,unit,airpol,src_nfr,geo\TIME_PERIOD	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 
A,T,NOX,NFR3B4H,EU27_2020	1518 	1781 	2025 	2047 	2240 	2456 	2622 	2470 	2554 	2159 	2199 	2365 	2427 	2309 	1705 	1680 	1696 	1691 	1441 	1412 	1444 	1442 	1477 	1459 	1470 	1465 	1359 	1305 	1224 	1141 	1105 	1083 
A,T,NOX,NFR3DA1,EU27_2020	520572 	451646 	422269 	399863 	399476 	397249 	412178 	414534 	415491 	419360 	423654 	418316 	406290 	406485 	407709 	394794 	390574 	394926 	386977 	371787 	374092 	378663 	383705 	390580 	400455 	406177 	409972 	413214 	407772 	388928 	394300 	386835 
A,T,NOX,NFR3DA2A,EU27_2020	253957 	243778 	234154 	227319 	223143 	221393 	220609 	218150 	218216 	213836 	208187 	207389 	204900 	202486 	198111 	198286 	196642 	197758 	194001 	192115 	189186 	188338 	188052 	188738 	189930 	191260 	191485 	192393 	192529 	190034 	190641 	187251 
A,T,NOX,NFR3DA2B,EU27_2020	2882 	2985 	3064 	3145 	3194 	3704 	3894 	4052 	4016 	4072 	4141 	4275 	4261 	4261 	3901 	3890 	4000 	4326 	4571 	4819 	4759 	4629 	4744 	3435 	3711 	3963 	3812 	3772 	3781 	3834 	3542 	3557 
A,T,NOX,NFR3DA2C,EU27_2020	1672 	1737 	1862 	2069 	2476 	2797 	3176 	3344 	3522 	3803 	4330 	4962 	5184 	5243 	5507 	6353 	7572 	8758 	9817 	11241 	12910 	16459 	16859 	19543 	21178 	21226 	21025 	22451 	22020 	22900 	24825 	24665 
A,T,NOX,NFR3DA3,EU27_2020	122285 	119517 	117696 	114886 	113491 	113289 	114973 	114075 	112435 	112708 	112260 	110271 	107619 	106419 	105084 	104011 	103497 	103988 	103274 	101888 	101649 	98996 	97567 	97770 	98412 	99383 	99851 	99968 	99813 	98982 	98827 	98307 
A,T,NOX,NFR3DA4,EU27_2020	2655 	2657 	2672 	2683 	2616 	2632 	2655 	2675 	2667 	2611 	2600 	2542 	2624 	2534 	2523 	2504 	2739 	2664 	2637 	2603 	2574 	2561 	2490 	2553 	2575 	2445 	2479 	2599 	2579 	2601 	2591 	2587 
A,T,NOX,NFR3F,EU27_2020	28652 	28634 	24932 	25219 	22766 	19520 	26956 	25525 	27296 	24720 	14382 	8964 	9360 	8959 	7480 	7086 	6366 	5928 	5862 	5687 	5320 	5355 	5130 	4686 	4855 	4640 	4081 	4210 	4069 	3995 	3779 	3732 
A,T,NOX,NFR3I,EU27_2020	7 	12 	16 	1 	2 	8 	18 	10 	21 	40 	38 	74 	167 	206 	112 	92 	422 	163 	135 	199 	196 	206 	181 	202 	265 	222 	186 	192 	198 	204 	183 	220 
A,T,NOX,NFR5A,EU27_2020	14 	17 	21 	26 	42 	54 	69 	84 	91 	110 	121 	135 	146 	159 	219 	188 	202 	205 	213 	189 	177 	147 	132 	133 	134 	126 	132 	114 	122 	99 	109 	109 
A,T,NOX,NFR5B2,EU27_2020	: 	: 	: 	: 	2 	8 	8 	11 	14 	13 	13 	13 	7 	6 	8 	10 	8 	11 	7 	16 	33 	43 	63 	80 	103 	115 	109 	114 	104 	104 	104 	95 
A,T,NOX,NFR5C1A,EU27_2020	6494 	6492 	6351 	6305 	5840 	5364 	5124 	4592 	3930 	3154 	2804 	2221 	1646 	1331 	1350 	967 	539 	491 	470 	372 	272 	264 	206 	254 	164 	141 	101 	75 	72 	54 	42 	39 
A,T,NOX,NFR5C1B1,EU27_2020	808 	792 	796 	903 	970 	1097 	1038 	1119 	1133 	1106 	906 	865 	790 	943 	996 	1113 	975 	760 	1010 	1029 	988 	920 	986 	921 	569 	600 	655 	686 	643 	648 	838 	637 
A,T,NOX,NFR5C1B2,EU27_2020	1264 	1341 	1389 	1391 	1557 	1587 	1621 	1549 	1648 	1690 	1796 	1897 	2037 	2124 	1857 	2251 	1930 	1616 	1695 	1365 	1645 	1545 	1575 	1258 	1488 	1259 	1252 	1265 	1300 	1414 	1308 	1225 
A,T,NOX,NFR5C1B3,EU27_2020	672 	566 	484 	418 	360 	352 	329 	310 	252 	225 	211 	206 	187 	161 	175 	131 	124 	108 	100 	125 	106 	108 	96 	95 	103 	101 	106 	99 	105 	105 	121 	137 
A,T,NOX,NFR5C1B4,EU27_2020	355 	364 	372 	381 	412 	416 	432 	435 	470 	467 	546 	505 	525 	541 	443 	448 	493 	646 	642 	526 	642 	644 	752 	559 	608 	673 	493 	518 	507 	629 	608 	668 
A,T,NOX,NFR5C1B5,EU27_2020	381 	406 	419 	515 	545 	560 	592 	598 	617 	639 	646 	662 	698 	740 	747 	765 	784 	815 	859 	900 	952 	961 	1016 	1058 	1135 	1240 	1250 	1319 	1405 	1456 	1649 	1698 
A,T,NOX,NFR5C1B6,EU27_2020	68 	66 	72 	13 	14 	6 	3 	4 	25 	2 	8 	60 	112 	: 	52 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,T,NOX,NFR5C2,EU27_2020	48569 	44971 	47665 	43950 	40669 	34645 	53293 	60141 	51319 	49379 	56631 	63603 	54083 	69073 	57502 	51516 	60341 	60122 	57304 	63440 	64938 	67323 	48889 	74822 	53127 	64433 	63666 	60496 	78164 	59623 	70515 	70733 
A,T,NOX,NFR5D1,EU27_2020	10 	10 	11 	11 	12 	12 	14 	12 	13 	13 	8 	14 	15 	15 	16 	15 	16 	16 	16 	17 	17 	16 	13 	12 	12 	13 	13 	13 	13 	14 	13 	13 
A,T,NOX,NFR5D2,EU27_2020	5 	5 	5 	5 	5 	5 	9 	9 	6 	6 	3 	12 	6 	6 	3 	3 	9 	10 	10 	4 	4 	4 	4 	4 	5 	3 	4 	4 	4 	4 	3 	4 
A,T,NOX,NFR5E,EU27_2020	170 	175 	177 	173 	173 	194 	192 	186 	178 	179 	212 	209 	177 	186 	171 	176 	178 	185 	187 	198 	192 	183 	180 	176 	175 	186 	202 	210 	217 	213 	209 	210 
A,T,NOX,NFR6A,EU27_2020	295 	275 	263 	287 	319 	356 	352 	423 	459 	570 	482 	327 	340 	346 	337 	204 	194 	191 	176 	186 	168 	166 	162 	162 	168 	169 	180 	179 	221 	219 	221 	223 
A,T,NOX,NFR6B,EU27_2020	16991 	17980 	18501 	18169 	17736 	17261 	16559 	16753 	16686 	16141 	16920 	15502 	14451 	14329 	14425 	14726 	14459 	14396 	14097 	14211 	15001 	14868 	14876 	13839 	14712 	14669 	15315 	15843 	16168 	15948 	15283 	15728 
A,T,NOX,NFR_TOT_NAT,EU27_2020	15126811 	14841792 	14478330 	13840342 	13377903 	13087008 	12981442 	12547612 	12247736 	11881163 	11512785 	11348734 	11138148 	11060021 	10924637 	10721194 	10484306 	10191472 	9537569 	8830579 	8626623 	8345937 	7988187 	7664202 	7394857 	7278317 	7049767 	6906041 	6607471 	6222979 	5580716 	5635784 
