countries,Year,GDP [Euro],Population,GrDP (Territorial & Low GHG with VOLY) scenario [Euro],GrDP (Territorial & Low GHG with VSL) scenario [Euro],GrDP (Territorial & Central GHG with VOLY) scenario [Euro],GrDP (Territorial & Central GHG with VSL) scenario [Euro],GrDP (Territorial & High GHG with VOLY) scenario [Euro],GrDP (Territorial & High GHG with VSL) scenario [Euro],GrDP (Residential & Low GHG with VOLY) scenario [Euro],GrDP (Residential & Low GHG with VSL) scenario [Euro],GrDP (Residential & Central GHG with VOLY) scenario [Euro],GrDP (Residential & Central GHG with VSL) scenario [Euro],GrDP (Residential & High GHG with VOLY) scenario [Euro],GrDP (Residential & High GHG with VSL) scenario [Euro],GrDP (Footprint & Low GHG with VOLY) scenario [Euro],GrDP (Footprint & Low GHG with VSL) scenario [Euro],GrDP (Footprint & Central GHG with VOLY) scenario [Euro],GrDP (Footprint & Central GHG with VSL) scenario [Euro],GrDP (Footprint & High GHG with VOLY) scenario [Euro],GrDP (Footprint & High GHG with VSL) scenario [Euro],GrDP per capita (Territorial & Low GHG with VOLY) scenario [Euro],GrDP per capita (Territorial & Low GHG with VSL) scenario [Euro],GrDP per capita (Territorial & Central GHG with VOLY) scenario [Euro],GrDP per capita (Territorial & Central GHG with VSL) scenario [Euro],GrDP per capita (Territorial & High GHG with VOLY) scenario [Euro],GrDP per capita (Territorial & High GHG with VSL) scenario [Euro],GrDP per capita (Residential & Low GHG with VOLY) scenario [Euro],GrDP per capita (Residential & Low GHG with VSL) scenario [Euro],GrDP per capita (Residential & Central GHG with VOLY) scenario [Euro],GrDP per capita (Residential & Central GHG with VSL) scenario [Euro],GrDP per capita (Residential & High GHG with VOLY) scenario [Euro],GrDP per capita (Residential & High GHG with VSL) scenario [Euro],GrDP per capita (Footprint & Low GHG with VOLY) scenario [Euro],GrDP per capita (Footprint & Low GHG with VSL) scenario [Euro],GrDP per capita (Footprint & Central GHG with VOLY) scenario [Euro],GrDP per capita (Footprint & Central GHG with VSL) scenario [Euro],GrDP per capita (Footprint & High GHG with VOLY) scenario [Euro],GrDP per capita (Footprint & High GHG with VSL) scenario [Euro],GDP per capita [Euro]
Germany,2015,3026180000000.0,81197537.0,2884915205266.0,2691599940876.0,2847724781086.0,2654409516696.0,2476706025576.0,2283390761186.0,2880263774389.18,2686948509999.18,2839972396291.3,2646657131901.3,2438017933838.64,2244702669448.64,2874254891089.18,2680939626699.18,2829957590791.3,2636642326401.3,2388039285438.64,2194724021048.6401,35529590081.85187,33148788009.123974,35071566038.83194,32690763966.104046,30502230942.990303,28121428870.262405,35472304712.754776,33091502640.02688,34976090423.67011,32595288350.94222,30025762158.75415,27644960086.026257,35398301442.18759,33017499369.459694,34852751639.39147,32471949566.663578,29410242892.449314,27029440819.72142,37269.35707421766
Germany,2016,3134740000000.0,82175684.0,2996507755403.0,2810413211408.0,2959344794603.0,2773250250608.0,2588600019003.0,2402505475008.0,2992049725154.3,2805955181159.3,2951914744188.5,2765820200193.5,2551520529315.4,2365425985320.4,2985278327654.3,2799183783659.3,2940629081688.5,2754534537693.5,2495199699315.4,2309105155320.4,36464652431.77045,34200058637.88125,36012414506.98481,33747820713.095615,31500802828.76623,29236209034.877033,36410402439.17288,34145808645.283676,35921997852.65554,33657404058.76634,31049580668.11345,28784986874.22425,36328000965.033646,34063407171.144444,35784662062.42348,33520068268.53428,30364209676.860123,28099615882.97093,38146.80751546893
Germany,2017,3267160000000.0,82521653.0,3131520792456.0,2950168113574.0,3094943933676.0,2913591254794.0,2730046223466.0,2548693544584.0,3126981040160.25,2945628361278.25,3087377679849.75,2906025000967.75,2692287013895.0,2510934335013.0,3119918210960.25,2938565532078.25,3075606297849.75,2894253618967.75,2633542212295.0,2452189533413.0,37947867966.92015,35750230470.71052,37504628435.83611,35306990939.62647,33082786447.164356,30885148950.954727,37892855105.07466,35695217608.865036,37412940332.7603,35215302836.55067,32625219151.814617,30427581655.60499,37807267517.53567,35609630021.32604,37270294353.52864,35072656857.319016,31913347788.79187,29715710292.58224,39591.54817221124
Germany,2018,3365450000000.0,82792351.0,3234847233364.0,3060594215534.0,3199629634444.0,3025376616614.0,2848292159504.0,2674039141674.0,3229969145940.07,3055716128110.07,3191499488737.45,3017246470907.45,2807718860930.36,2633465843100.36,3221876953440.07,3047623935610.07,3178012501237.45,3003759483407.45,2740412370930.36,2566159353100.36,39071812725.35671,36967113248.589836,38646440109.473404,36541740632.70652,34402841870.065994,32298142393.29911,39012893183.09212,36908193706.32523,38548240872.36573,36443541395.598854,33912780915.35726,31808081438.59038,38915152360.392204,36810452883.62533,38385339501.19921,36280640024.43233,33099825501.154808,30995126024.387924,40649.286550638
Germany,2019,3474110000000.0,83019213.0,3351383354508.0,3188136210455.0,3318295275288.0,3155048131235.0,2988202294498.0,2824955150445.0,3347074758383.16,3183827614330.16,3311114281746.6,3147867137693.6,2952365717205.68,2789118573152.68,3338639763983.16,3175392619930.16,3297055957746.6,3133808813693.6,2882207986005.68,2718960841952.68,40368768064.66474,38402390184.72748,39970208767.071785,38003830887.13452,35994105298.22777,34027727418.290512,40316869281.610275,38350491401.67301,39883710795.31433,37917332915.377075,35562439229.64772,33596061349.710457,40215266362.295685,38248888482.35841,39714372596.45668,37747994716.51942,34717360980.11047,32750983100.17321,41847.0601497993
Germany,2020,3403730000000.0,83166711.0,3290708802864.0,3142283532127.0,3259833783024.0,3111408512287.0,2951818704144.0,2803393433407.0,3288736807158.81,3140311536421.81,3256547123515.35,3108121852778.35,2935416708119.88,2786991437382.88,3280797232158.81,3132371961421.81,3243314498515.35,3094889227778.35,2869379608119.88,2720954337382.88,39567619824.042336,37782948181.358284,39196377298.4121,37411705655.72805,35492791149.86283,33708119507.17878,39543908465.47737,37759236822.79332,39156858367.47049,37372186724.78644,35295572865.925644,33510901223.24159,39448442684.70362,37663771042.01957,38997748732.84757,37213077090.16351,34501540022.6646,32716868379.98054,40926.591409873115
Germany,2021,3617450000000.0,83155031.0,3501996320459.0,3353100742710.0,3469893351239.0,3320997773490.0,3149628015449.0,3000732437700.0,3499705420185.17,3350809842436.17,3466075184115.95,3317179606366.95,3130573543330.16,2981677965581.16,3490147639785.17,3341252062036.17,3450145550115.95,3301249972366.95,3051077084130.16,2902181506381.16,42114064276.628075,40323486172.59249,41728002617.6528,39937424513.61722,37876577972.16142,36085999868.12583,42086514527.126686,40295936423.0911,41682086368.483826,39891508264.44825,37647434023.92767,35856855919.89209,41971575234.99895,40180997130.96336,41490520881.60426,39699942777.56869,36691431022.73824,34900852918.70266,43502.4791223997
Denmark,1990,108898000000.0,5135409.0,91011615517.0,72669184711.0,87718293457.0,69375862651.0,54863485287.0,36521054481.0,,,,,,,,,,,,,17722369438.734093,14150612874.456543,17081072502.112295,13509315937.834747,10683372110.575808,7111615546.29826,,,,,,,,,,,,,21205.321718289622
Denmark,1991,112605400000.0,5146469.0,93277310651.0,71693317645.0,89563379591.0,67979386585.0,52512495921.0,30928502915.0,,,,,,,,,,,,,18124525893.578686,13930583793.470825,17402879448.21974,13208937348.11188,10203597052.85313,6009654952.745271,,,,,,,,,,,,,21880.127909057646
Denmark,1992,118194200000.0,5162126.0,100850425590.0,82243893433.0,97346237070.0,78739704913.0,62387784930.0,43781252773.0,,,,,,,,,,,,,19536606737.22416,15932174734.402065,18857780121.9885,15253348119.166405,12085676508.089884,8481244505.267791,,,,,,,,,,,,,22896.41903355323
Denmark,1993,122269600000.0,5180614.0,106833512530.0,89585055797.0,103288967470.0,86040510737.0,67927910800.0,50679454067.0,,,,,,,,,,,,,20621785859.745583,17292362603.544678,19937591851.081745,16608168594.880838,13111942097.98298,9782518841.782074,,,,,,,,,,,,,23601.372346984353
Denmark,1994,131678000000.0,5196642.0,117085976667.0,99874288171.0,113396209047.0,96184520551.0,76586384457.0,59374695961.0,,,,,,,,,,,,,22531083855.11259,19219004921.062485,21821054643.941223,18508975709.891117,14737667989.636385,11425589055.58628,,,,,,,,,,,,,25339.055490064544
Denmark,1995,141441400000.0,5215718.0,127363300398.0,110851941175.0,123792066438.0,107280707215.0,88164756218.0,71653396995.0,126862345370.7,110350986147.7,122957141392.5,106445782169.5,83998082657.6,67486723434.600006,126452920970.7,109941561747.7,122274767392.5,105763408169.5,80592711457.6,64081352234.600006,24419130865.203987,21253438390.45746,23734424759.544132,20568732284.797607,16903666229.27083,13737973754.524305,24323083681.03874,21157391206.29221,23574346119.26872,20408653644.522194,16104797586.372576,12939105111.62605,24244585495.36229,21078893020.61576,23443515809.80797,20277823335.061443,15451892042.016075,12286199567.26955,27118.298957113864
Denmark,1996,147843400000.0,5251027.0,132270130270.0,114128360421.0,128176526770.0,110034756921.0,87337958520.0,69196188671.0,131725983332.89,113584213483.89,127269615208.15,109127845359.15,82812037963.72,64670268114.72,131843194832.89,113701424983.89,127464967708.15,109323197859.15,83786939963.72,65645170114.72,25189383004.505596,21734483639.295704,24409801505.49597,20954902140.28608,16632547979.661882,13177648614.451992,25085756240.234528,21630856875.02464,24237090231.710865,20782190866.500973,15770636480.01048,12315737114.80059,25108077873.69785,21653178508.487957,24274292954.14973,20819393588.93984,15956295780.562546,12501396415.352654,28155.139937387485
Denmark,1997,153152100000.0,5275121.0,139892169616.0,125384472280.0,136182824116.0,121675126780.0,99177686866.0,84669989530.0,139285967285.77,124778269949.77,135172486898.95,120664789562.95,94135623039.96,79627925703.96,139161416285.77,124653718949.77,134964901898.95,120457204562.95,93099675039.96,78591977703.96,26519234272.730427,23769022981.65293,25816056942.769653,23065845651.69216,18801025960.541946,16050814669.464455,26404317035.71728,23654105744.63979,25624528214.414417,22874316923.336926,17845206401.89296,15094995110.815468,26380706013.335045,23630494722.257557,25585176510.444027,22834965219.36653,17648822660.17405,14898611369.096558,29032.907491600665
Denmark,1998,158146400000.0,5294860.0,145778160008.0,132784088559.0,142241905748.0,129247834299.0,106963559678.0,93969488229.0,144910117042.49,131916045593.49,140795167472.15,127801096023.15,99743646758.52,86749575309.52,144632148442.49,131638076993.49,140331886472.15,127337815023.15,97431653958.52,84437582509.52,27532014067.98291,25077922468.01615,26864148579.56584,24410056979.599083,20201395254.64318,17747303654.676422,27368073384.84681,24913981784.880054,26590914107.672348,24136822507.705585,18837825128.241352,16383733528.274591,27315575566.207603,24861483966.240845,26503417743.273666,24049326143.306904,18401176604.956505,15947085004.989744,29867.90963311589
Denmark,1999,166972100000.0,5313577.0,155163972715.0,143447375359.0,151729614235.0,140013016879.0,117467799875.0,105751202519.0,154361332951.9,142644735595.9,150391881296.5,138675283940.5,110791875496.2,99075278140.2,153681991351.9,141965393995.9,149259645296.5,137543047940.5,105141478696.2,93424881340.2,29201416054.571148,26996385929.666588,28555079607.39065,26350049482.48609,22107104098.613796,19902073973.709236,29050361545.885193,26845331420.980633,28303322092.91406,26098291968.0095,20850714216.844887,18645684091.940327,28922511398.987915,26717481274.08335,28090238514.751926,25885208389.847366,19787325693.4453,17582295568.54074,31423.671850431452
Denmark,2000,178018100000.0,5330020.0,167421786491.0,156862132359.0,164179531811.0,153619877679.0,131834181551.0,121274527419.0,166382827398.29,155823173266.29,162447933323.15,151888279191.15,123192680525.92,112633026393.92,165669862698.29,155110208566.29,161259658823.15,150700004691.15,117262624925.92,106702970793.92,31411099112.38607,29429933163.290195,30802798453.10149,28821632504.005615,24734275209.28627,22753109260.19039,31216173184.770416,29235007235.67454,30477921907.075394,28496755957.979515,23112986541.498905,21131820592.40303,31082409202.646523,29101243253.550648,30254981936.8689,28273815987.773026,22000409928.277943,20019243979.182068,33399.1429675686
Denmark,2001,184045600000.0,5349212.0,173485140764.0,163151518640.0,170196963704.0,159863341580.0,137393483034.0,127059860910.0,172478602368.41,162144980244.41,168519399711.35,158185777587.35,129021639870.68,118688017746.68,171819830268.41,161486208144.41,167421446211.35,157087824087.35,123542329070.68,113208706946.68,32431906001.1082,30500103312.413116,31817202927.085335,29885400238.39025,25684807974.333416,23753005285.638332,32243740268.362896,30311937579.667812,31503593372.509823,29571790683.81474,24119746959.118465,22187944270.42338,32120587157.213066,30188784468.517982,31298338187.26011,29366535498.565025,23095425844.15798,21163623155.4629,34406.11439591476
Denmark,2002,189794900000.0,5368354.0,179338848123.0,169233963439.0,176028360243.0,165923475559.0,143002302583.0,132897417899.0,178302528535.62,168197643851.62,174301160930.7,164196276246.7,134382755538.76,124277870854.76,177615160735.62,167510276051.62,173155547930.7,163050663246.7,128665601138.76,118560716454.76,33406673278.811344,31524367327.303677,32790006069.45816,30907700117.950493,26638016528.529976,24755710577.022305,33213630944.535328,31331324993.027657,32468268845.6648,30585962894.157127,25032394573.59928,23150088622.091614,33085590245.281887,31203284293.77422,32254867680.242397,30372561728.73473,23967421138.538925,22085115187.031258,35354.393544091916
Denmark,2003,193353400000.0,5383507.0,182355206790.0,171789367908.0,178844136150.0,168278297268.0,143817026670.0,133251187788.0,181061111083.53,170495272201.53,176687309972.55,166121471090.55,133053436984.44,122487598102.44,180622505083.53,170056666201.53,175956299972.55,165390461090.55,129405348984.44,118839510102.44,33872939477.927677,31910308263.3681,33220749253.228424,31258118038.668846,26714375344.919212,24751744130.359634,33632557937.331554,31669926722.771973,32820113352.234886,30857482137.67531,24715011419.961002,22752380205.401424,33551085766.867207,31588454552.30763,32684326401.46098,30721695186.901398,24037369875.146442,22074738660.586864,35915.88159911374
Denmark,2004,202422200000.0,5397640.0,191979974587.0,181921867639.0,188730676927.0,178672569979.0,156315064557.0,146256957609.0,190589318602.87,180531211654.87,186412916953.45,176354810005.45,144748338593.76,134690231645.76,189632285602.87,179574178654.87,184817861953.45,174759755005.45,136788254593.76,126730147645.76,35567391413.09906,33703964628.800735,34965406534.52249,33101979750.22417,28959890722.056305,27096463937.757984,35309749928.27791,33446323143.979588,34536004059.820595,32672577275.522266,26816967895.924885,24953541111.626564,35132444105.733246,33269017321.43492,34240494355.57948,32377067571.281155,25342233752.85495,23478806968.55663,37501.98234784091
Denmark,2005,212832400000.0,5411405.0,202892753117.0,193050230038.0,199827251237.0,189984728158.0,169245220577.0,159402697498.0,200990344644.56,191147821565.56,196656570449.6,186814047370.6,153422013599.88,143579490520.88,200025965844.56,190183442765.56,195049272449.6,185206749370.6,145400831199.88,135558308120.88,37493544304.48285,35674696319.71734,36927055217.083176,35108207232.31767,31275652178.50078,29456804193.735268,37141988937.17251,35323140952.407,36341129604.899284,34522281620.13377,28351604361.506855,26532756376.741344,36963776661.43266,35144928676.66715,36044109145.33286,34225261160.567356,26869330829.95636,25050482845.190853,39330.34027207352
Denmark,2006,225531300000.0,5427459.0,215068584872.0,205072503436.0,211672584572.0,201676503136.0,177793438722.0,167797357286.0,212559701942.72,202563620506.72,207491113023.2,197495031587.2,156925904516.56,146929823080.56,211735208342.72,201739126906.72,206116957023.2,196120875587.2,150068211716.56,140072130280.56,39626017418.46415,37784256580.47348,39000310195.24975,37158549357.25908,32758135754.13467,30916374916.144,39163760047.3297,37321999209.33903,38229881243.359,36388120405.36833,28913328413.27037,27071567575.2797,39011848517.45909,37170087679.46842,37976695360.24132,36134934522.25065,27649810291.806904,25808049453.816235,41553.75471284076
Denmark,2007,233383300000.0,5447084.0,223282126383.0,213342265668.0,220070409903.0,210130549188.0,188029714543.0,178089853828.0,220712869276.08,210773008561.08002,215788314724.8,205848454009.8,166660020510.84,156720159795.84,219740974576.08,209801113861.08002,214168490224.8,204228629509.8,158576324910.84,148636464195.84,40991129636.150276,39166325628.17096,40401508385.58759,38576704377.60828,34519334481.164604,32694530473.185287,40519453945.64872,38694649937.66941,39615382234.751656,37790578226.77235,30596190642.70718,28771386634.727867,40341029177.46082,38516225169.481514,39318007621.10516,37493203613.12585,29112149713.652294,27287345705.67298,42845.54818688311
Denmark,2008,241613500000.0,5475791.0,231996644521.0,222435644750.0,228995421541.0,219434421770.0,199054649431.0,189493649660.0,229478838037.99,219917838266.99,224799077402.65,215238077631.65,178112893921.52002,168551894150.52002,228401059237.99,218840059466.99,223002779402.65,213441779631.65,169148511521.52002,159587511750.52002,42367695282.92807,40621646215.131294,41819605887.259026,40073556819.46225,36351761678.0845,34605712610.28772,41907888383.24728,40161839315.45049,41053261054.4577,39307211986.66092,32527336036.295036,30781286968.498257,41711062244.33876,39965013176.54198,40725217489.610176,38979168421.81339,30890242436.484524,29144193368.687744,44123.944832810455
Denmark,2009,231278000000.0,5511451.0,222479814282.0,214127667005.0,219624351462.0,211272204185.0,191137710472.0,182785563195.0,220179697924.02,211827550647.02,215790824198.7,207438676921.7,172006583938.96002,163654436661.96002,219337331224.02,210985183947.02,214386879698.7,206034732421.7,165000232338.96002,156648085061.96002,40366831580.649086,38851414446.93965,39848735199.13358,38333318065.42415,34680107012.10988,33164689878.400444,39949497496.03507,38434080362.32564,39153178391.44356,37637761257.73412,31208947324.209183,29693530190.49975,39796658125.78575,38281240992.07632,38898446107.69469,37383028973.98525,29937711927.214817,28422294793.505383,41963.178117704396
Denmark,2010,243165400000.0,5534738.0,234435012664.0,226125834665.0,231613230484.0,223304052485.0,203462593974.0,195153415975.0,232195881031.15,223886703032.15,227881344429.25,219572166430.25,184838705472.2,176529527473.2,231366813631.15,223057635632.15,226499565429.25,218190387430.25,177942970272.2,169633792273.2,42357020813.63201,40855743246.5638,41847189602.10944,40345912035.04122,36761016325.253334,35259738758.18512,41952461170.00479,40451183602.93658,41172923529.397415,39671645962.3292,33396107543.338097,31894829976.26988,41802667738.0483,40301390170.98009,40923267809.46993,39421990242.40172,32150206617.223797,30648929050.155582,43934.40123091644
Denmark,2011,247879900000.0,5560628.0,239769015694.0,232023484882.0,237188748214.0,229443217402.0,211447508354.0,203701977542.0,237239658045.07,229494127233.07,232973152132.45,225227621320.45,190409676480.36,182664145668.36,236255805945.07,228510275133.07,231333398632.45,223587867820.45,182226525680.36,174480994868.36,43119053404.39965,41726129653.34132,42655028930.90493,41262105179.846596,38025832397.707596,36632908646.64926,42664184341.24168,41271260590.18334,41896913825.64164,40503990074.583305,34242477015.250797,32849553264.192463,42487252509.08171,41094328758.02338,41602027438.70837,40209103687.65003,32770853522.36474,31377929771.306408,44577.68079432755
Denmark,2012,254578000000.0,5580516.0,247005403099.0,239680239838.0,244635799639.0,237310636378.0,220996184169.0,213671020908.0,244596829662.43,237271666401.43,240621510578.05,233296347317.05,200962970188.64,193637806927.64,243779051862.43,236453888601.43,239258547578.05,231933384317.05,194161135788.64,186835972527.64,44262108217.053764,42949476327.637085,43837487364.78849,42524855475.37181,39601388862.42777,38288756973.0111,43830504143.77989,42517872254.36321,43118147242.66537,41805515353.248695,36011539110.11813,34698907220.701454,43683962533.649216,42371330644.23254,42873911225.780914,41561279336.364235,34792685082.9995,33480053193.582817,45619.07895255564
Denmark,2013,258742700000.0,5602628.0,251152476047.0,243981466599.0,248725233887.0,241554224439.0,224510603767.0,217339594319.0,248927066000.0,241756056552.0,245016217142.0,237845207694.0,206000844011.0,198829834563.0,248263046000.0,241092036552.0,243909517142.0,236738507694.0,200477884011.0,193306874563.0,44827619475.53898,43547682730.14021,44394386685.49831,43114449940.09954,40072373851.52111,38792437106.122345,44430411228.44494,43150474483.04617,43732372940.34157,42452436194.9428,36768610018.54844,35488673273.14967,44311891847.897095,43031955102.49833,43534840639.4285,42254903894.02973,35782829773.991776,34502893028.59301,46182.38083984873
Denmark,2014,265757000000.0,5627235.0,258564499223.0,251786383451.0,256283775323.0,249505659551.0,233530839273.0,226752723501.0,256513867995.74,249735752223.74,252866056610.9,246087940838.9,216474795414.52002,209696679642.52002,255670297995.74,248892182223.74,251460106610.9,244681990838.9,209458435414.52002,202680319642.52002,45948765108.085945,44744245344.472015,45543464121.011475,44338944357.39755,41500104273.768555,40295584510.15463,45584353238.44482,44379833474.83089,44936111004.942924,43731591241.329,38469123008.81695,37264603245.203026,45434444802.06354,44229925038.44961,44686263610.97413,43481743847.36021,37222265537.96314,36017745774.34922,47226.92405772995
Denmark,2015,273017599999.99997,5659715.0,266103132957.99997,259413951225.99997,263981824677.99997,257292642945.99997,242819249217.99997,236130067485.99997,263811547648.62997,257122365916.62997,260162515829.04996,253473334097.05,223759079343.24,217069897611.24,262931059648.62997,256241877916.62997,258695035829.04996,252005854097.05,216435655343.24,209746473611.24,47017055268.33064,45835161527.74477,46642246946.710205,45460353206.12433,42903087738.16349,41721193997.577614,46612161150.98198,45430267410.3961,45967423417.79576,44785529677.20989,39535396984.34285,38353503243.75697,46456590066.57225,45274696325.986374,45708138277.112885,44526244536.527016,38241440663.22067,37059546922.634796,48238.75407153893
Denmark,2016,283109700000.0,5707251.0,276002497123.0,269321904261.0,273749705743.0,267069112881.0,251275429833.0,244594836971.0,273713823749.23,267033230887.23,269935250120.05,263254657258.05,232239479867.03998,225558887005.03998,272921712149.23,266241119287.23,268615064120.05,261934471258.05,225651123067.03998,218970530205.03998,48359971748.74559,47189426969.48145,47965247321.87177,46794702542.60764,44027401253.77349,42856856474.50935,47958960233.0842,46788415453.82006,47296894795.76945,46126350016.50532,40692003885.41523,39521459106.1511,47820169841.703125,46649625062.438995,47065577476.801,45895032697.536865,39537620312.6584,38367075533.394264,49605.265301981635
Denmark,2017,294808200000.0,5748769.0,287898023693.0,281322524669.0,285745031873.0,279169532849.0,264266375383.0,257690876359.0,285456815456.33,278881316432.33,281676351478.55,275100852454.55,243961722747.84,237386223723.84,284539548056.33,277964049032.33,280147572478.55,273572073454.55,236332387547.84,229756888523.84,50079942974.40026,48936133051.96295,49705429435.93663,48561619513.49933,45969211040.31141,44825401117.87411,49655294108.413475,48511484185.976166,48997681325.95865,47853871403.52134,42437210948.61178,41293401026.17448,49495735183.71151,48351925261.2742,48731749784.788704,47587939862.351395,41110085924.10654,39966276001.66923,51281.9701052521
Denmark,2018,302328700000.0,5781190.0,295392444612.0,289075582017.0,293166063252.0,286849200657.0,270955258732.0,264638396137.0,292909179409.26,286592316814.26,289027287914.1,282710425319.1,250300798950.47998,243983936355.47998,291930329509.26,285613466914.26,287395871414.1,281079008819.1,242159253750.47998,235842391155.47998,51095439626.09774,50002781783.16229,50710331826.49247,49617673983.55702,46868423063.76369,45775765220.82824,50665897403.347755,49573239560.4123,49994428121.90915,48901770278.9737,43295722671.36696,42203064828.43151,50496581068.82148,49403923225.88602,49712234231.03201,48619576388.096565,41887440777.84677,40794782934.911316,52295.23679380889
Denmark,2019,309526400000.0,5806081.0,303132648791.0,297283178085.0,301103306651.0,295253835945.0,280858202921.0,275008732215.0,300571727301.65,294722256595.65,296835104168.75,290985633462.75,259557840057.2,253708369351.2,299593034901.65,293743564195.65,295203950168.75,289354479462.75,251417604857.2,245568134151.2,52209510819.948944,51202037671.36559,51859990697.85626,50852517549.27291,48373111384.59832,47365638236.01496,51768435077.231964,50760961928.64861,51124864459.99462,50117391311.41126,44704481397.55543,43697008248.97207,51599871738.20862,50592398589.62527,50843925561.622375,49836452413.039024,43302462514.250145,42294989365.66679,53310.72714969012
Denmark,2020,311356300000.0,5822763.0,305231254244.0,299580624487.0,303301162724.0,297650532967.0,284046202084.0,278395572327.0,303178452909.29,297527823152.29,299879827166.15,294229197409.15,266972108442.91998,261321478685.91998,302283311109.29,296632681352.29,298387924166.15,292737294409.15,259526802042.91998,253876172285.91998,52420346533.76756,51449908657.968735,52088873052.878845,51118435177.080025,48782030469.72717,47811592593.928345,52067798897.068275,51097361021.269455,51501293658.38005,50530855782.58123,45849729491.4665,44879291615.66768,51914067446.89591,50943629571.097084,51245074574.759445,50274636698.96062,44571074255.11221,43600636379.31339,53472.26050588011
Denmark,2021,342961700000.0,5840045.0,336864635572.0,331386517117.0,334921245592.0,329443127137.0,315533616982.0,310055498527.0,334516003939.03,329037885484.03,331006859537.05,325528741082.05,295998966574.44,290520848119.44,333440115139.03,327961996684.03,329213711537.05,323735593082.05,287050304174.44,281572185719.44,57681856145.28655,56743829391.21188,57349086452.587265,56411059698.512596,54029312613.51582,53091285859.441154,57279696293.270004,56341669539.195335,56678820032.55968,55740793278.48501,50684364003.092445,49746337249.01778,57095470178.57397,56157443424.4993,56371776508.066284,55433749753.991615,49152070604.66829,48214043850.59362,58725.86598219706
Estonia,1990,,1570599.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,1991,,1567749.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,1992,,1554878.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,1993,,1511303.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,1994,,1476952.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,1995,2988100000.0,1448075.0,-2032996547.0,-3614632174.0,-2735182787.0,-4316818414.0,-9740326467.000002,-11321962094.000002,,,,,,,,,,,,,-1403930422.8026862,-2496163647.6011257,-1888840555.2198608,-2981073780.0183,-6726396400.048342,-7818629624.846781,,,,,,,,,,,,,2063.4980922949435
Estonia,1996,3770000000.0,1425192.0,-494188054.0,-2098078347.0,-1220874154.0,-2824764447.0,-8470433104.0,-10074323397.0,,,,,,,,,,,,,-346751914.12806135,-1472137330.970143,-856638371.5316954,-1982023788.373777,-5943362791.820331,-7068748208.662412,,,,,,,,,,,,,2645.257621429253
Estonia,1997,4553700000.0,1405996.0,1037321915.0,-504897916.0,327938555.0,-1214281276.0,-6749004965.0,-8291224796.0,,,,,,,,,,,,,737784399.8133707,-359103380.0949647,233242879.06935725,-863644900.8389782,-4800159435.01973,-5897047214.928065,,,,,,,,,,,,,3238.771660801311
Estonia,1998,5067500000.0,1393074.0,1951308104.0,517681303.0,1335756104.0,-97870697.0,-4805107896.0,-6238734697.0,,,,,,,,,,,,,1400721070.0939074,371610770.8563939,958855095.9963361,-70255203.24117742,-3449284026.548482,-4478394325.7859955,,,,,,,,,,,,,3637.638775829568
Estonia,1999,5406900000.0,1379237.0,2545727152.0,1212614668.0,1960520152.0,627407668.0,-3877616348.0,-5210728832.0,,,,,,,,,,,,,1845750332.9739559,879192385.3550912,1421452695.947107,454894748.32824236,-2811421349.6302667,-3777979297.249131,,,,,,,,,,,,,3920.21095721765
Estonia,2000,6171600000.0,1401250.0,3504111689.0,2226042807.0,2967570089.0,1689501207.0,-2385071111.0,-3663139993.0,,,,,,,,,,,,,2500704149.1525426,1588612172.7029438,2117802026.0481713,1205710049.5985727,-1702102487.778769,-2614194464.2283673,,,,,,,,,,,,,4404.35325602141
Estonia,2001,6987100000.0,1392720.0,4425723393.0,3162505215.0,3881016153.0,2617797975.0,-1553087027.0,-2816305205.0,,,,,,,,,,,,,3177755322.677925,2270740145.1835256,2786644948.7334137,1879629771.2390144,-1115146638.9511173,-2022161816.4455166,,,,,,,,,,,,,5016.873456258258
Estonia,2002,7822600000.0,1383510.0,5418983875.0,4225714597.0,4885416295.0,3692147017.0,-437555515.0,-1630824793.0,,,,,,,,,,,,,3916837518.341031,3054343370.846615,3531175267.9778247,2668681120.483408,-316264801.12178445,-1178758948.616201,,,,,,,,,,,,,5654.169467513788
Estonia,2003,8744400000.0,1375190.0,6419264116.0,5199527579.0,5790527056.0,4570790519.0,-481873614.0,-1701610151.0,,,,,,,,,,,,,4667910700.339589,3780952144.067365,4210710560.7225184,3323752004.450294,-350405117.8382623,-1237363674.1104865,,,,,,,,,,,,,6358.684981711618
Estonia,2004,9777500000.0,1366250.0,7659603466.0,6531193178.0,7044960766.0,5916550478.0,913168116.0,-215242172.0,,,,,,,,,,,,,5606297138.883806,4780379270.265325,5156421420.677035,4330503552.058555,668375565.2333028,-157542303.38517842,,,,,,,,,,,,,7156.450137236962
